# normative-production	syntax-node
source	Source
inline-manifest	InlineManifest
manifest-field	ManifestField
capability	Capability
tool-requirement	ToolRequirement
import-declaration	ImportDeclaration
import-name	ImportName
declaration	Declaration
record-declaration	RecordDeclaration
record-field	RecordField
enum-declaration	EnumDeclaration
enum-variant	EnumVariant
type-alias-declaration	TypeAliasDeclaration
newtype-declaration	NewtypeDeclaration
const-declaration	ConstDeclaration
function-declaration	FunctionDeclaration
test-declaration	TestDeclaration
generic-parameters	GenericParameters
generic-parameter	GenericParameter
parameter	Parameter
effect-clause	EffectClause
body	Body
statement	Statement
local-function	LocalFunction
while-statement	WhileStatement
loop-statement	LoopStatement
for-statement	ForStatement
loop-binding	LoopBinding
loop-binding-item	LoopBindingItem
type	Type
named-type	NamedType
generic-type	GenericType
tuple-type	TupleType
record-type	RecordType
function-type	FunctionType
expression	Expression
range	Range
disjunction	Disjunction
coalescing	Coalescing
pipeline	Pipeline
composition	Composition
conjunction	Conjunction
equality	Equality
comparison	Comparison
addition	Addition
multiplication	Multiplication
unary	Unary
postfix	Postfix
slice	Slice
type-argument	TypeArgument
call-argument	CallArgument
primary	Primary
literal	Literal
template-literal	TemplateLiteral
template-segment	TemplateSegment
template-text-or-escape	TemplateTextOrEscape
template-interpolation	TemplateInterpolation
qualified-enum	QualifiedEnum
enum-record-constructor	EnumRecordConstructor
record-constructor	RecordConstructor
anonymous-record	AnonymousRecord
record-value-field	RecordValueField
record-update-base	RecordUpdateBase
list-literal	ListLiteral
list-item	ListItem
map-literal	MapLiteral
map-item	MapItem
tuple-or-group	TupleOrGroup
match-expression	MatchExpression
conditional-expression	ConditionalExpression
match-arm	MatchArm
pattern	Pattern
pattern-or	PatternOr
pattern-primary	PatternPrimary
pattern-range	PatternRange
record-pattern	RecordPattern
enum-pattern	EnumPattern
pattern-field	PatternField
closure	Closure
short-closure	ShortClosure
prompt-expression	PromptExpression
prompt-field	PromptField
await-block	AwaitBlock
